"","","","2023","2023"
"","","","Unit","Value"
"Burkina Faso","Food supply quantity (kg/capita/yr)","Meat","kg/cap","23.08"
"Burkina Faso","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","20.93"
"Burkina Faso","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","8.69"
"Burkina Faso","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","58.6"
"Cabo Verde","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","4.8"
"Cabo Verde","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","10.67"
"Cabo Verde","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","51.97"
"Cabo Verde","Food supply quantity (kg/capita/yr)","Meat","kg/cap","43.85"
"Cabo Verde","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","100.19"
"Cabo Verde","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","31.85"
"Cabo Verde","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","102.09"
"Cambodia","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","1.09"
"Cambodia","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","39.42"
"Cambodia","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","17.72"
"Cambodia","Food supply quantity (kg/capita/yr)","Meat","kg/cap","16.13"
"Cambodia","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","9.68"
"Cambodia","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","38.12"
"Cambodia","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","35.86"
"Cameroon","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","1.74"
"Cameroon","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","18.12"
"Cameroon","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","93.3"
"Cameroon","Food supply quantity (kg/capita/yr)","Meat","kg/cap","14.76"
"Cameroon","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","12.19"
"Cameroon","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","16.06"
"Cameroon","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","107.04"
"Canada","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","15.89"
"Canada","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","20.82"
"Canada","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","112.22"
"Canada","Food supply quantity (kg/capita/yr)","Meat","kg/cap","94.79"
"Canada","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","185.9"
"Canada","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","49.71"
"Canada","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","114.48"
"Chile","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","9.89"
"Chile","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","14.36"
"Chile","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","76.81"
"Chile","Food supply quantity (kg/capita/yr)","Meat","kg/cap","98.54"
"Chile","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","105.08"
"Chile","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","45.45"
"Chile","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","77.57"
"China","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","22.85"
"China","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","41.65"
"China","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","113.82"
"China","Food supply quantity (kg/capita/yr)","Meat","kg/cap","74.03"
"China","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","35.31"
"China","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","9.81"
"China","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","406.68"
"China, Hong Kong SAR","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","28.3"
"China, Hong Kong SAR","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","69.11"
"China, Hong Kong SAR","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","75.07"
"China, Hong Kong SAR","Food supply quantity (kg/capita/yr)","Meat","kg/cap","107.43"
"China, Hong Kong SAR","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","67.4"
"China, Hong Kong SAR","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","54.67"
"China, Hong Kong SAR","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","172.56"
"China, Macao SAR","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","23.96"
"China, Macao SAR","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","61.12"
"China, Macao SAR","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","66.16"
"China, Macao SAR","Food supply quantity (kg/capita/yr)","Meat","kg/cap","121.23"
"China, Macao SAR","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","41.52"
"China, Macao SAR","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","90.37"
"China, Macao SAR","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","135.46"
"China, Taiwan Province of","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","14.05"
"China, Taiwan Province of","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","30.4"
"China, Taiwan Province of","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","94.38"
"China, Taiwan Province of","Food supply quantity (kg/capita/yr)","Meat","kg/cap","91.5"
"China, Taiwan Province of","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","57.79"
"China, Taiwan Province of","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","30.13"
"China, Taiwan Province of","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","120.82"
"China, mainland","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","22.96"
"China, mainland","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","41.68"
"China, mainland","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","114.36"
"China, mainland","Food supply quantity (kg/capita/yr)","Meat","kg/cap","73.54"
"China, mainland","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","34.77"
"China, mainland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","9.2"
"China, mainland","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","412.72"
"Colombia","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","14.96"
"Colombia","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","10.31"
"Colombia","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","153.7"
"Colombia","Food supply quantity (kg/capita/yr)","Meat","kg/cap","62.59"
"Colombia","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","116.5"
"Colombia","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","51.87"
"Colombia","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","51"
"Comoros","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","1.48"
"Comoros","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","16.98"
"Comoros","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","97.11"
"Comoros","Food supply quantity (kg/capita/yr)","Meat","kg/cap","26.59"
"Comoros","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","17.04"
"Comoros","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","18.31"
"Comoros","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","44.56"
"Congo","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","0.19"
"Congo","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","23.19"
"Congo","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","41.7"
"Congo","Food supply quantity (kg/capita/yr)","Meat","kg/cap","55.8"
"Congo","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","6.7"
"Congo","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","15.21"
"Congo","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","13.14"
"Costa Rica","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","13.61"
"Costa Rica","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","17.83"
"Costa Rica","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","77.12"
"Costa Rica","Food supply quantity (kg/capita/yr)","Meat","kg/cap","64.12"
"Costa Rica","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","172.9"
"Costa Rica","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","51.69"
"Costa Rica","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","71.77"
"Croatia","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","8.94"
"Croatia","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","19.89"
"Croatia","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","104.98"
"Croatia","Food supply quantity (kg/capita/yr)","Meat","kg/cap","99.71"
"Croatia","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","184.81"
"Croatia","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","58.26"
"Croatia","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","338.04"
"Cyprus","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","7.61"
"Cyprus","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","17.96"
